Time (s),Evaporator Position 1 (°C),Evaporator Position 2 (°C),Evaporator Position 3 (°C),Condenser Position 1 (°C),Condenser Position 2 (°C),Condenser Position 3 (°C),Condenser Position 4 (°C)
0,24.181,24.18464,24.17258,23.62493,24.17547,23.28322,23.9042
0.5,24.18671,24.17688,24.18562,23.62872,24.18092,23.2889,23.90751
1,24.15878,24.18038,24.17518,23.62987,24.17899,23.27988,23.9018
1.5,24.17803,24.16819,24.17717,23.63073,24.14935,23.28452,23.89438
2,24.16645,24.16039,24.16488,23.65892,24.14515,23.28646,23.88592
2.5,24.17598,24.14558,24.17843,23.60744,24.14711,23.29481,23.87536
3,24.15016,24.15687,24.16727,23.61248,24.11788,23.29418,23.8856
3.5,24.15136,24.12545,24.15925,23.59928,24.10444,23.28547,23.85183
4,24.15147,24.14068,24.14565,23.61203,24.11884,23.29468,23.86505
4.5,24.13071,24.11189,24.14167,23.58923,24.10386,23.27968,23.85172
5,24.14045,24.11571,24.12611,23.6049,24.11786,23.2866,23.82222
5.5,24.10725,24.10922,24.12837,23.60474,24.09524,23.27508,23.84547
6,24.11285,24.10087,24.10938,23.59878,24.10584,23.26983,23.81279
6.5,24.10944,24.09581,24.12347,23.58995,24.07786,23.25107,23.82005
7,24.11694,24.07211,24.11442,23.58542,24.06907,23.28414,23.82095
7.5,24.08402,24.0997,24.10348,23.59317,24.06263,23.28906,23.81215
8,24.08608,24.07718,24.1001,23.57248,24.06536,23.28895,23.80494
8.5,24.06691,24.06558,24.08827,23.57958,24.0526,23.28895,23.81369
9,24.0665,24.03561,24.07106,23.58767,24.07274,23.28001,23.78088
9.5,24.07882,24.05668,24.07298,23.57682,24.03637,23.27862,23.7906
10,24.05417,24.06181,24.06181,23.56862,24.02935,23.28533,23.81551
10.5,24.06647,24.04976,24.0604,23.55037,24.01985,23.28954,23.78189
11,24.04912,24.03762,24.05227,23.56031,24.0253,23.25832,23.77788
11.5,24.04533,24.01421,24.06148,23.54675,24.03444,23.27338,23.78418
12,24.0193,24.01276,24.04467,23.54354,24.01917,23.27916,23.76655
12.5,24.03811,24.01526,24.0415,23.52996,24.00985,23.26558,23.75888
13,24.01364,24.00616,24.03428,23.53577,24.0029,23.26856,23.75618
13.5,24.01171,23.9976,24.03802,23.53918,23.97344,23.2644,23.73973
14,23.99606,23.98431,24.01504,23.521,23.98931,23.25165,23.75821
14.5,24.01058,23.96645,23.99812,23.51752,23.95013,23.25267,23.71831
15,23.97266,23.97155,23.9862,23.54128,23.94339,23.2516,23.72031
15.5,23.97971,23.96134,23.99373,23.50787,23.95964,23.25437,23.71576
16,23.96984,23.98268,23.9777,23.50482,23.93176,23.23925,23.68977
16.5,23.96329,23.95981,23.96477,23.50085,23.94623,23.24782,23.68532
17,23.96288,23.95444,23.97689,23.48945,23.93271,23.21891,23.6893
17.5,23.95665,23.95719,23.96191,23.49383,23.91439,23.24861,23.68942
18,23.95029,23.92601,23.94208,23.50468,23.91105,23.21357,23.67592
18.5,23.94968,23.91641,23.95021,23.49205,23.89677,23.2447,23.66163
19,23.93185,23.93216,23.94302,23.50794,23.91502,23.24616,23.69454
19.5,23.95268,23.91634,23.92058,23.49638,23.91978,23.24761,23.67353
20,24.10527,23.96753,23.96232,23.49528,23.91135,23.21836,23.62938
20.5,24.3812,24.12911,24.0875,23.47793,23.91008,23.25376,23.6345
21,24.69676,24.3363,24.26942,23.47447,23.89764,23.24675,23.6372
21.5,25.01024,24.58328,24.44742,23.47622,23.98286,23.22863,23.63753
22,25.29536,24.8142,24.61671,23.49035,24.14805,23.2572,23.65591
22.5,25.5889,25.03254,24.78786,23.47587,24.22341,23.23254,23.74951
23,25.81797,25.24593,24.96611,23.48035,24.31393,23.22354,23.90579
23.5,26.07777,25.44804,25.15837,23.49322,24.42086,23.23901,24.05506
24,26.32611,25.63447,25.31227,23.55401,24.48254,23.21772,24.21391
24.5,26.58585,25.84153,25.48069,23.77318,24.59521,23.22665,24.31171
25,26.79728,26.05902,25.64775,24.15534,24.70374,23.25274,24.44389
25.5,27.05802,26.23669,25.821,24.53387,24.79222,23.25546,24.55436
26,27.2661,26.44234,26.00693,24.82718,24.93169,23.22644,24.68085
26.5,27.50419,26.63371,26.1703,25.01028,25.03777,23.2979,24.8068
27,27.70238,26.81156,26.32536,25.18817,25.19559,23.32041,24.9266
27.5,27.89799,27.00971,26.52809,25.36928,25.31317,23.41335,25.06499
28,28.11237,27.19529,26.68972,25.49044,25.45017,23.54016,25.1817
28.5,28.32048,27.39676,26.8446,25.65592,25.58449,23.67256,25.32619
29,28.532,27.56277,27.03169,25.79236,25.74479,23.85369,25.43859
29.5,28.74249,27.7452,27.22153,25.93973,25.87282,24.03228,25.58435
30,28.92072,27.93939,27.37317,26.12666,26.02483,24.25591,25.70618
30.5,29.14375,28.11696,27.5466,26.26238,26.17873,24.4403,25.86318
31,29.31879,28.30019,27.73748,26.41598,26.33683,24.66502,26.03004
31.5,29.54627,28.49848,27.9128,26.58509,26.51209,24.87974,26.20015
32,29.73541,28.6817,28.08789,26.7385,26.66504,25.10021,26.36091
32.5,29.93531,28.87711,28.27589,26.90202,26.82386,25.3152,26.50396
33,30.13084,29.04297,28.42042,27.06111,26.9799,25.53896,26.6506
33.5,30.3128,29.26442,28.62295,27.22852,27.14945,25.75356,26.78717
34,30.51047,29.42466,28.80213,27.41659,27.30689,25.95839,26.93806
34.5,30.74058,29.60306,28.97688,27.58966,27.48257,26.18876,27.11284
35,30.90229,29.81222,29.15864,27.73068,27.646,26.38445,27.27442
35.5,31.12227,29.97038,29.34349,27.87857,27.8111,26.59595,27.43556
36,31.29798,30.18696,29.52047,28.06956,28.00235,26.82535,27.61437
36.5,31.49978,30.35961,29.69253,28.23111,28.13493,26.99343,27.79482
37,31.68588,30.54686,29.87427,28.39641,28.30661,27.21712,27.96065
37.5,31.87301,30.71518,30.0521,28.57495,28.49223,27.41281,28.09168
38,32.09561,30.91033,30.22882,28.73411,28.68131,27.58933,28.2768
38.5,32.2823,31.09255,30.42715,28.90899,28.84961,27.8327,28.44987
39,32.48919,31.30415,30.61728,29.10465,29.03658,28.01416,28.63359
39.5,32.68066,31.47542,30.79126,29.2849,29.19707,28.23296,28.80731
40,32.86612,31.67049,30.99304,29.49296,29.3854,28.4332,28.97993
40.5,33.08566,31.86214,31.17754,29.65369,29.56544,28.66846,29.15366
41,33.25062,32.04912,31.35996,29.84621,29.74457,28.84066,29.29733
41.5,33.46219,32.25814,31.56279,30.02045,29.90496,29.0734,29.47024
42,33.67707,32.4524,31.73184,30.20463,30.10703,29.2756,29.6505
42.5,33.88389,32.64423,31.92687,30.37471,30.2776,29.48321,29.83195
43,34.11148,32.83788,32.11549,30.55772,30.42961,29.69081,30.01716
43.5,34.32456,33.04795,32.33487,30.74629,30.63253,29.88209,30.20204
44,34.55932,33.25136,32.53303,30.92039,30.81629,30.08923,30.37035
44.5,34.77948,33.4704,32.72855,31.09281,30.99555,30.33227,30.53862
45,34.98185,33.69553,32.94142,31.28909,31.19536,30.53336,30.75049
45.5,35.19177,33.90033,33.14661,31.49482,31.36872,30.72512,30.95467
46,35.40044,34.08164,33.32947,31.67169,31.55899,30.94556,31.15698
46.5,35.52144,34.24166,33.50601,31.85904,31.74918,31.10202,31.3207
47,35.65896,34.40604,33.67122,32.03978,31.94004,31.28521,31.45339
47.5,35.78624,34.56157,33.83366,32.21379,32.1312,31.4497,31.60565
48,35.91337,34.7146,33.99125,32.37864,32.27307,31.66042,31.80509
48.5,36.07467,34.86205,34.15473,32.57586,32.47665,31.86409,31.97941
49,36.22088,35.01265,34.32862,32.75284,32.61753,32.06416,32.17454
49.5,36.3739,35.18082,34.46742,32.92918,32.82789,32.25631,32.35917
50,36.49931,35.30872,34.6064,33.1114,32.97989,32.42971,32.49691
50.5,36.64645,35.47497,34.7695,33.26007,33.15554,32.59816,32.65152
51,36.80262,35.61449,34.93836,33.41541,33.30973,32.7639,32.80765
51.5,36.95592,35.78129,35.09171,33.60883,33.48044,32.89599,32.96459
52,37.104,35.93212,35.252,33.77587,33.62993,33.10836,33.12164
52.5,37.24645,36.09296,35.41599,33.93757,33.79868,33.29475,33.30897
53,37.41531,36.22345,35.57417,34.07494,33.97215,33.45281,33.48298
53.5,37.5657,36.40066,35.72601,34.23528,34.14562,33.59964,33.6373
54,37.73681,36.56378,35.87895,34.35908,34.31768,33.72678,33.82793
54.5,37.87695,36.71389,36.05441,34.52379,34.44119,33.90867,33.95875
55,38.02604,36.8795,36.2199,34.70225,34.62177,34.08931,34.13729
55.5,38.19642,37.05988,36.37492,34.89436,34.78909,34.26138,34.31146
56,38.34991,37.21331,36.52565,35.02957,34.93508,34.41023,34.44579
56.5,38.49984,37.33935,36.66837,35.17159,35.10589,34.60076,34.60801
57,38.67069,37.5104,36.82528,35.34033,35.25594,34.77777,34.75788
57.5,38.82206,37.67873,36.97785,35.52648,35.40186,34.99487,34.91228
58,38.97852,37.8202,37.14089,35.70195,35.56941,35.14772,35.08527
58.5,39.17311,37.98887,37.31972,35.86127,35.71659,35.26594,35.25099
59,39.54893,38.19318,37.50456,35.97243,35.87056,35.44193,35.3739
59.5,40.08943,38.53498,37.81904,36.14813,36.03365,35.65043,35.55062
60,40.66614,38.99642,38.15949,36.34892,36.198,35.84685,35.72321
60.5,41.29931,39.45929,38.53293,36.53601,36.41363,36.10927,35.92045
61,41.9312,39.94524,38.94937,36.77911,36.62312,36.39847,36.10734
61.5,42.4622,40.46113,39.35875,36.97892,36.87319,36.66375,36.32923
62,42.89402,40.8681,39.72513,37.27448,37.04499,36.97968,36.54247
62.5,43.17691,41.21222,40.04841,37.56609,37.32103,37.26013,36.82304
63,43.41033,41.50979,40.32184,37.80876,37.61395,37.54159,37.0738
63.5,43.6483,41.75582,40.58537,38.06161,37.91259,37.81991,37.32096
64,43.90287,41.97802,40.83248,38.35119,38.19359,38.13332,37.5638
